"survey_id","round","scheme","estimand","n_sibling_rows","n_vars","cmc_dob","cmc_dod","has_accident_items","has_psu","has_stratum","has_wdoi","has_wdob"
"BEN_2014","MICS5","mics4","pregnancy-related only",80643,33,"MM7C","MM8C","no","no","no","yes","yes"
"BTN_2010","MICS4","mics4","pregnancy-related only",60333,24,"-","-","no","yes","yes","no","no"
"COG_2014","MICS5","mics4","pregnancy-related only",51672,32,"MM7C","MM8C","no","no","no","yes","yes"
"GIN_2016","MICS5","mics4","pregnancy-related only",38132,37,"MM7C","MM8C","no","no","no","yes","yes"
"GNB_2014","MICS5","mics4","pregnancy-related only",46102,32,"MM7C","MM8C","no","no","no","yes","yes"
"MRT_2011","MICS4","mics4","pregnancy-related only",67412,23,"MM7C","MM8C","no","no","no","yes","yes"
"MWI_2013","MICS5","mics4","pregnancy-related only",133054,32,"MM7C","MM8C","no","no","no","yes","yes"
"STP_2014","MICS5","mics4","pregnancy-related only",15601,33,"MM7C","MM8C","no","no","no","yes","yes"
"ZWE_2014","MICS5","mics4","pregnancy-related only",71994,27,"MM7C","MM8C","no","no","no","yes","yes"
"COM_2022","MICS6","mics6","maternal + pregnancy-related",37491,47,"MM17C","MM18C","yes","yes","yes","yes","yes"
"IRQ_2018","MICS6","mics6","maternal + pregnancy-related",186790,28,"MM17C","MM18C","yes","yes","no","yes","yes"
"MDG_2018","MICS6","mics6","maternal + pregnancy-related",89420,35,"MM17C","MM18C","yes","no","no","yes","no"
"ZWE_2019","MICS6","mics6","maternal + pregnancy-related",47835,48,"MM17C","MM18C","yes","yes","yes","yes","yes"
